,Listing URL,School Name,School Rating,School Type,School Grades
549,http://www.redfin.com/CA/Brea/2301-Raintree-Dr-92821/home/4153272,Brea-Olinda High,7.0,Public,9 to 12
550,http://www.redfin.com/CA/Brea/3844-Grandview-Dr-92823/home/5898593,Olinda Elementary,8.0,Public,K to 6
551,http://www.redfin.com/CA/Brea/3844-Grandview-Dr-92823/home/5898593,Brea Junior High,8.0,Public,7 to 8
552,http://www.redfin.com/CA/Brea/3844-Grandview-Dr-92823/home/5898593,Brea-Olinda High,7.0,Public,9 to 12
553,http://www.redfin.com/CA/Brea/2207-Crestview-Cir-92821/home/4152134,Brea Country Hills Elementary,7.0,Public,K to 6
554,http://www.redfin.com/CA/Brea/2207-Crestview-Cir-92821/home/4152134,Brea Junior High,8.0,Public,7 to 8
555,http://www.redfin.com/CA/Brea/2207-Crestview-Cir-92821/home/4152134,Brea-Olinda High,7.0,Public,9 to 12
556,http://www.redfin.com/CA/Brea/315-S-Flower-Ave-92821/home/4082149,Laurel Elementary Magnet School of Innovation And Career Explr,7.0,Public,K to 6
557,http://www.redfin.com/CA/Brea/315-S-Flower-Ave-92821/home/4082149,Brea Junior High,8.0,Public,7 to 8
558,http://www.redfin.com/CA/Brea/315-S-Flower-Ave-92821/home/4082149,Brea-Olinda High,7.0,Public,9 to 12
559,http://www.redfin.com/CA/Yorba-Linda/17060-Vista-Moraga-92886/home/5851162,Lakeview Elementary,7.0,Public,K to 5
560,http://www.redfin.com/CA/Yorba-Linda/17060-Vista-Moraga-92886/home/5851162,Yorba Linda Middle,9.0,Public,6 to 8
561,http://www.redfin.com/CA/Yorba-Linda/17060-Vista-Moraga-92886/home/5851162,El Dorado High,8.0,Public,9 to 12
562,http://www.redfin.com/CA/Brea/172-Brookside-Ln-92821/home/4156261,Brea Country Hills Elementary,7.0,Public,K to 6
563,http://www.redfin.com/CA/Brea/172-Brookside-Ln-92821/home/4156261,Brea Junior High,8.0,Public,7 to 8
564,http://www.redfin.com/CA/Brea/172-Brookside-Ln-92821/home/4156261,Brea-Olinda High,7.0,Public,9 to 12
565,http://www.redfin.com/CA/Fullerton/1816-Evergreen-Ave-92835/home/4086320,Rolling Hills Elementary,6.0,Public,K to 6
566,http://www.redfin.com/CA/Fullerton/1816-Evergreen-Ave-92835/home/4086320,Ladera Vista Junior High School of the Arts,5.0,Public,7 to 8
567,http://www.redfin.com/CA/Fullerton/1816-Evergreen-Ave-92835/home/4086320,Fullerton Union High,7.0,Public,9 to 12
568,http://www.redfin.com/CA/Brea/419-Redtail-Dr-92823/home/5804910,Olinda Elementary,8.0,Public,K to 6
569,http://www.redfin.com/CA/Brea/419-Redtail-Dr-92823/home/5804910,Brea Junior High,8.0,Public,7 to 8
570,http://www.redfin.com/CA/Brea/419-Redtail-Dr-92823/home/5804910,Brea-Olinda High,7.0,Public,9 to 12
571,http://www.redfin.com/CA/Brea/235-Verbena-Ln-92823/home/4141533,Olinda Elementary,8.0,Public,K to 6
572,http://www.redfin.com/CA/Brea/235-Verbena-Ln-92823/home/4141533,Brea Junior High,8.0,Public,7 to 8
573,http://www.redfin.com/CA/Brea/235-Verbena-Ln-92823/home/4141533,Brea-Olinda High,7.0,Public,9 to 12
574,http://www.redfin.com/CA/Yorba-Linda/3511-Iron-Bark-Way-92886/home/5892133,Lakeview Elementary,7.0,Public,K to 5
575,http://www.redfin.com/CA/Yorba-Linda/3511-Iron-Bark-Way-92886/home/5892133,Yorba Linda Middle,9.0,Public,6 to 8
576,http://www.redfin.com/CA/Yorba-Linda/3511-Iron-Bark-Way-92886/home/5892133,El Dorado High,8.0,Public,9 to 12
577,http://www.redfin.com/CA/Brea/852-E-Davidson-Ct-92821/home/4150265,William E. Fanning Elementary,9.0,Public,K to 6
578,http://www.redfin.com/CA/Brea/852-E-Davidson-Ct-92821/home/4150265,Brea Junior High,8.0,Public,7 to 8
579,http://www.redfin.com/CA/Brea/852-E-Davidson-Ct-92821/home/4150265,Brea-Olinda High,7.0,Public,9 to 12
580,http://www.redfin.com/CA/Brea/855-Peterkin-Pl-92821/home/5924588,Mariposa Elementary,8.0,Public,K to 6
581,http://www.redfin.com/CA/Brea/855-Peterkin-Pl-92821/home/5924588,Brea Junior High,8.0,Public,7 to 8
582,http://www.redfin.com/CA/Brea/855-Peterkin-Pl-92821/home/5924588,Brea-Olinda High,7.0,Public,9 to 12
583,http://www.redfin.com/CA/Brea/605-Juniper-St-92821/home/4118734,Arovista Elementary,6.0,Public,K to 6
584,http://www.redfin.com/CA/Brea/605-Juniper-St-92821/home/4118734,Brea Junior High,8.0,Public,7 to 8
585,http://www.redfin.com/CA/Brea/605-Juniper-St-92821/home/4118734,Brea-Olinda High,7.0,Public,9 to 12
